"attr_time","attr_x","attr_y","attr_z"
"1518483752312","0.0135272","-0.0178852","-0.0819235"
"1518483752334","0.0146526","-0.0104771","0.139411"
"1518483752353","0.00789124","-0.0102978","-0.0091424"
"1518483752375","-0.0243337","0.00133896","0.174651"
"1518483752395","0.0801348","0.00681782","-0.178238"
"1518483752413","-0.0642253","0.0150318","0.0451202"
"1518483752434","0.0941917","-0.0894918","0.0571661"
"1518483752455","-0.0280793","0.0126858","-0.0519533"
"1518483752473","-0.0148017","-0.00517464","-0.0090003"
"1518483752493","-0.101866","0.0705624","0.0445161"
"1518483752514","-0.0163686","-0.0220823","0.223324"
"1518483752533","0.0213826","-0.0195818","0.119281"
"1518483752554","0.110962","-0.0137501","0.114579"
"1518483752573","0.104093","-0.0359011","-0.0481625"
"1518483752592","0.0296425","0.0306568","-0.15537"
"1518483752613","-0.0509874","0.0475101","-0.087903"
"1518483752633","-0.0465362","0.0226851","-0.0894766"
"1518483752655","-0.0448906","-0.0163298","0.0701599"
"1518483752674","-0.00718123","-0.0360489","-0.0204887"
"1518483752695","0.0593793","-0.0537395","-0.0163908"
"1518483752713","0.0475034","-0.027669","-0.0495057"
"1518483752735","0.0648186","-0.00106525","-0.0376892"
"1518483752755","0.254889","0.14472","-0.0799522"
"1518483752773","0.368638","0.175155","-0.132917"
"1518483752794","0.0822985","0.157363","-0.0910106"
"1518483752815","-0.342146","-0.0120201","-0.0747237"
"1518483752833","-0.367572","-0.216481","0.432484"
"1518483752853","-0.301719","-0.293857","0.493474"
"1518483752873","-0.143689","-0.215931","0.502043"
"1518483752893","-0.114951","-0.134436","0.229247"
"1518483752915","-0.0957919","0.00737572","-0.0636916"
"1518483752934","-0.0785489","0.0480404","-0.234834"
"1518483752953","-0.0858242","0.0346022","-0.187867"
"1518483752973","-0.066744","-0.0182886","-0.144547"
"1518483752995","0.101754","0.0907173","-0.163524"
"1518483753013","0.15802","-0.0480976","-0.128903"
"1518483753033","0.0287294","0.0304775","-0.0724759"
"1518483753055","0.0593765","0.0109739","0.118238"
"1518483753074","-0.031031","0.00494862","0.144391"
"1518483753095","-0.007586","-0.009449","0.117428"
"1518483753115","-0.0137305","-0.0343752","0.00966406"
"1518483753134","0.0541399","0.0606089","-0.0708013"
"1518483753154","0.0873666","0.0293331","-0.127511"
"1518483753175","0.0947938","0.0234661","-0.153726"
"1518483753194","0.0126262","0.0206881","-0.0501943"
"1518483753214","-0.0377846","0.00697327","0.0843472"
"1518483753235","0.073205","0.0209017","0.0617313"
"1518483753254","0.0566486","0.00331306","-0.000415802"
"1518483753275","-0.0427904","-0.0375729","-0.00416327"
"1518483753295","0.0653695","-0.0434666","-0.0761166"
"1518483753314","0.031226","-0.0251961","0.0214696"
"1518483753333","-0.0401434","0.0353899","0.0210066"
"1518483753355","-0.0167914","0.060874","0.0072279"
"1518483753373","-0.0881345","0.0314608","0.0919762"
"1518483753394","0.00994009","-0.0265484","0.154028"
"1518483753415","0.094146","-0.0231533","0.00255156"
"1518483753435","0.113625","-0.0472536","-0.110969"
"1518483753455","0.0047062","0.0407295","-0.11176"
"1518483753475","-0.0192201","0.0249224","-0.0913238"
"1518483753494","-0.0479382","0.000782967","-0.119029"
"1518483753514","-0.0249426","-0.0395975","-0.0454226"
"1518483753535","-0.0103769","-0.0604095","0.0268707"
"1518483753554","-0.0255404","-0.0559893","0.00617313"
"1518483753574","-0.0989645","0.0528946","-0.0372009"
"1518483753595","-0.0504403","0.0423155","0.0813336"
"1518483753614","0.0400954","0.014698","0.164669"
"1518483753636","0.0110067","0.0692215","0.101088"
"1518483753655","0.110323","0.0381384","-0.045547"
"1518483753674","0.184029","0.0879726","-0.233726"
"1518483753694","0.0188901","0.00716972","-0.167827"
"1518483753715","-0.1975","-0.0613041","0.210514"
"1518483753734","-0.100537","-0.129492","0.162665"
"1518483753754","-0.258564","-0.157226","0.128217"
"1518483753775","0.00384527","-0.104712","0.202175"
"1518483753794","0.0298921","-0.0205603","0.113854"
"1518483753819","-0.0507877","-0.0087862","0.184939"
"1518483753836","-0.057869","-0.00319767","0.287777"
"1518483753854","-0.00415587","-0.0274591","0.184252"
"1518483753874","-0.0665336","-0.0066433","0.214441"
"1518483753895","-0.0551422","-0.106833","0.186876"
"1518483753913","0.0152642","-0.0758886","0.0211682"
"1518483753934","0.010296","-0.0511341","-0.120976"
"1518483753955","-0.0530567","0.00314713","-0.0757112"
"1518483753974","-0.0252066","-0.0606909","-0.0643997"
"1518483753995","0.0717749","0.0472183","-0.12239"
"1518483754014","-0.105391","0.0588446","0.0610676"
"1518483754034","-0.107298","-0.0237951","0.10057"
"1518483754054","0.0712263","-0.00945854","-0.0133991"
"1518483754075","-0.0445362","-0.0113974","-0.0260429"
"1518483754094","-0.160131","-0.0531721","-0.107028"
"1518483754113","-0.0457419","-0.0559454","-0.145001"
