"id","attr_time","attr_azimuth","attr_pitch","attr_roll"
"422","1518810933375","291.984","-0.303469","0.645731"
"423","1518810933391","291.984","-0.304013","0.64513"
"424","1518810933394","291.984","-0.304462","0.644465"
"425","1518810933401","291.984","-0.304944","0.643546"
"426","1518810933412","291.984","-0.305171","0.642594"
"427","1518810933420","291.984","-0.305081","0.641703"
"428","1518810933431","291.984","-0.305055","0.640718"
"429","1518810933446","291.984","-0.305028","0.639732"
"430","1518810933451","291.984","-0.305128","0.63897"
"431","1518810933465","291.984","-0.305128","0.63897"
"432","1518810933470","291.984","-0.305128","0.63897"
"433","1518810933480","291.984","-0.305128","0.63897"
"434","1518810933496","291.984","-0.305128","0.63897"
"435","1518810933501","291.984","-0.305128","0.63897"
"436","1518810933514","291.984","-0.305128","0.63897"
"437","1518810933521","291.984","-0.30541","0.639575"
"438","1518810933530","291.984","-0.305852","0.64015"
"439","1518810933541","291.984","-0.306327","0.640471"
"440","1518810933551","291.984","-0.306898","0.640855"
"441","1518810933561","291.984","-0.307501","0.640985"
"442","1518810933571","291.984","-0.308137","0.640861"
"443","1518810933580","291.984","-0.308776","0.640325"
"444","1518810933591","291.984","-0.309447","0.639534"
"445","1518810933600","291.984","-0.310024","0.638679"
"446","1518810933612","291.984","-0.310665","0.637729"
"447","1518810933621","291.984","-0.31118","0.636556"
"448","1518810933631","291.984","-0.311346","0.635285"
"449","1518810933642","291.984","-0.311512","0.634015"
"450","1518810933651","291.984","-0.311645","0.632999"
"451","1518810933662","291.984","-0.311776","0.632396"
"452","1518810933671","291.984","-0.311776","0.632396"
"453","1518810933681","291.984","-0.311776","0.632396"
"454","1518810933694","291.984","-0.311776","0.632396"
"455","1518810933701","291.984","-0.311776","0.632396"
"456","1518810933711","291.984","-0.311391","0.632965"
"457","1518810933720","291.984","-0.311099","0.634013"
"458","1518810933732","291.984","-0.310902","0.635124"
"459","1518810933746","291.984","-0.310992","0.636014"
"460","1518810933752","291.984","-0.311147","0.63681"
"461","1518810933775","291.984","-0.31143","0.637415"
"462","1518810933800","291.984","-0.31143","0.637415"
"463","1518810933800","291.984","-0.31143","0.637415"
"464","1518810933801","291.984","-0.31143","0.637415"
"465","1518810933815","291.984","-0.31143","0.637415"
"466","1518810933815","291.984","-0.31194","0.637069"
"467","1518810933830","291.984","-0.312548","0.636373"
"468","1518810933830","291.984","-0.313189","0.635423"
"469","1518810933847","291.984","-0.31386","0.634632"
"470","1518810933861","291.984","-0.314437","0.633777"
"471","1518810933861","291.984","-0.315045","0.633081"
"472","1518810933877","291.984","-0.315045","0.633081"
"473","1518810933892","291.984","-0.315045","0.633081"
"474","1518810933892","291.984","-0.315045","0.633081"
"475","1518810933908","291.984","-0.315045","0.633081"
"476","1518810933924","291.984","-0.315045","0.633081"
"477","1518810933924","291.984","-0.315045","0.633081"
"478","1518810933941","291.984","-0.315045","0.633081"
"479","1518810933941","291.984","-0.315045","0.633081"
"480","1518810933958","291.984","-0.315045","0.633081"
"481","1518810933975","291.984","-0.315551","0.633561"
"482","1518810933975","291.984","-0.316057","0.634041"
"483","1518810933993","291.984","-0.316532","0.634361"
"484","1518810933993","291.984","-0.317166","0.634651"
"485","1518810934011","291.984","-0.317769","0.634781"
"486","1518810934011","291.984","-0.318436","0.634817"
"487","1518810934028","291.984","-0.319042","0.634534"
"488","1518810934043","291.984","-0.319552","0.634187"
"489","1518810934044","291.984","-0.320032","0.633681"
"490","1518810934058","291.984","-0.320575","0.63308"
"491","1518810934074","291.984","-0.320575","0.63308"
"492","1518810934074","291.984","-0.320575","0.63308"
"493","1518810934091","291.984","-0.320575","0.63308"
"494","1518810934107","291.984","-0.320575","0.63308"
"495","1518810934108","291.984","-0.320575","0.63308"
"496","1518810934124","291.984","-0.320575","0.63308"
"497","1518810934124","291.984","-0.320575","0.63308"
"498","1518810934145","291.984","-0.320575","0.63308"
"499","1518810934145","291.984","-0.320575","0.63308"
"500","1518810934163","291.984","-0.320575","0.63308"
"501","1518810934163","291.984","-0.320575","0.63308"
"502","1518810934181","291.984","-0.320575","0.63308"
"503","1518810934181","291.984","-0.320575","0.63308"
"504","1518810934199","291.984","-0.320575","0.63308"
"505","1518810934218","291.984","-0.320575","0.63308"
"506","1518810934218","291.984","-0.320575","0.63308"
"507","1518810934233","291.984","-0.321276","0.632862"
"508","1518810934233","291.984","-0.321882","0.632579"
"509","1518810934245","291.984","-0.322391","0.632232"
"510","1518810934261","291.984","-0.323031","0.631696"
"511","1518810934261","291.984","-0.323638","0.631"
"512","1518810934275","291.984","-0.324151","0.63024"
"513","1518810934291","291.984","-0.324346","0.629542"
"514","1518810934310","291.984","-0.324346","0.629542"
"515","1518810934310","291.984","-0.324346","0.629542"
"516","1518810934325","291.984","-0.324346","0.629542"
"517","1518810934326","291.984","-0.324346","0.629542"
"518","1518810934345","291.984","-0.324346","0.629542"
"519","1518810934345","291.984","-0.324346","0.629542"
"520","1518810934352","291.984","-0.324346","0.629542"
"521","1518810934361","291.984","-0.324346","0.629542"
"522","1518810934371","291.984","-0.324346","0.629542"
"523","1518810934382","291.984","-0.324346","0.629542"
"524","1518810934392","291.984","-0.324346","0.629542"
"525","1518810934402","291.984","-0.324346","0.629542"
"526","1518810934412","291.984","-0.324346","0.629542"
"527","1518810934421","291.984","-0.324346","0.629542"
"528","1518810934432","291.984","-0.324346","0.629542"
"529","1518810934441","291.984","-0.324346","0.629542"
"530","1518810934454","291.984","-0.325013","0.629578"
"531","1518810934463","291.984","-0.325616","0.629708"
"532","1518810934474","291.984","-0.326219","0.629839"
"533","1518810934484","291.984","-0.326887","0.629874"
"534","1518810934494","291.984","-0.326887","0.629874"
"535","1518810934503","291.984","-0.326887","0.629874"
"536","1518810934514","291.984","-0.326887","0.629874"
"537","1518810934523","291.984","-0.326887","0.629874"
"538","1518810934534","291.984","-0.326887","0.629874"
"539","1518810934544","291.984","-0.326887","0.629874"
"540","1518810934554","291.984","-0.326604","0.629269"
"541","1518810934564","291.984","-0.326098","0.628789"
"542","1518810934575","291.984","-0.326098","0.628789"
"543","1518810934588","291.984","-0.326098","0.628789"
"544","1518810934592","291.984","-0.326098","0.628789"
"545","1518810934601","291.984","-0.326098","0.628789"
"546","1518810934611","291.984","-0.326098","0.628789"
"547","1518810934621","291.984","-0.326098","0.628789"
"548","1518810934634","291.984","-0.326098","0.628789"
"549","1518810934644","291.984","-0.326098","0.628789"
"550","1518810934655","291.984","-0.326098","0.628789"
"551","1518810934663","291.984","-0.326098","0.628789"
"552","1518810934673","291.984","-0.326098","0.628789"
"553","1518810934682","291.984","-0.326098","0.628789"
"554","1518810934692","291.984","-0.326127","0.629361"
"555","1518810934701","291.984","-0.326312","0.630316"
